time_start,1628165185.8247237,matrix_w_pre,[[0.0015573756989537826|-0.0163659233410852|0.02866644889615928|-0.011516463013881092]|[0.09305381959484811|-0.022531386479255386|-0.14203675081657405|0.11784164563611745]|[-0.061555360591146156|-0.009998655478305805|0.08671467546575656|-0.054762913821981736]|[-0.06495364603193203|0.013258936560674601|0.07136836127535709|-0.03159202580596493]],process_time,2.48329496383667,matrix_w,[[-0.006717219104963132|-5.87015142102906e-05|0.011257828762407196|-0.007154350353736756]|[0.008705809233561401|-0.0017200891861646034|-0.01061325496035303|0.007868786006578862]|[0.0010248750150160934|-0.0019723134225272435|-0.0017909072807155433|0.0030387292984437055]|[-0.001164933805467046|0.0008736121043869266|-0.00016190107897542624|0.0012705714043117606]],
time_start,1628167766.8389738,matrix_w_pre,[[0.023535938239566973|-0.003183161663653984|-0.00846115616164429|-0.01813343644021872]|[-0.12382881488693938|0.023447393383036978|0.1715635825176379|-0.12863815238645424]|[-0.020396364368151773|-0.012808639465762366|0.05804996921060903|-0.03175127743983461]|[-0.01926493162939172|-0.018093286759851394|0.027334737157678805|-0.011773162424731306]],process_time,2.9697399139404297,matrix_w,[[-0.0011645923648109559|0.0008734040510608096|-0.00016231292724666849|0.0012710135124330976]|[-0.008706922754730407|0.001719180202774842|0.010614909551098024|-0.007868803266525325]|[0.006715389025618948|5.903764413764052e-05|-0.011255602592129927|0.0071526927238719645]|[-0.0010290094857523674|0.0019732129473669585|0.0017957451732390415|-0.003042242190752532]],
time_start,1628167799.303812,matrix_w_pre,[[0.023535938239566973|-0.003183161663653984|-0.00846115616164429|-0.01813343644021872]|[-0.12382881488693938|0.023447393383036978|0.1715635825176379|-0.12863815238645424]|[-0.020396364368151773|-0.012808639465762366|0.05804996921060903|-0.03175127743983461]|[-0.01926493162939172|-0.018093286759851394|0.027334737157678805|-0.011773162424731306]],process_time,2.1015539169311523,matrix_w,[[-0.0011645923648109559|0.0008734040510608096|-0.00016231292724666849|0.0012710135124330976]|[-0.008706922754730407|0.001719180202774842|0.010614909551098024|-0.007868803266525325]|[0.006715389025618948|5.903764413764052e-05|-0.011255602592129927|0.0071526927238719645]|[-0.0010290094857523674|0.0019732129473669585|0.0017957451732390415|-0.003042242190752532]],
time_start,1628168317.5036197,matrix_w_pre,[[0.023535938239566973|-0.003183161663653984|-0.00846115616164429|-0.01813343644021872]|[-0.12382881488693938|0.023447393383036978|0.1715635825176379|-0.12863815238645424]|[-0.020396364368151773|-0.012808639465762366|0.05804996921060903|-0.03175127743983461]|[-0.01926493162939172|-0.018093286759851394|0.027334737157678805|-0.011773162424731306]],process_time,2.205493688583374,matrix_w,[[-0.0011645923648109559|0.0008734040510608096|-0.00016231292724666849|0.0012710135124330976]|[-0.008706922754730407|0.001719180202774842|0.010614909551098024|-0.007868803266525325]|[0.006715389025618948|5.903764413764052e-05|-0.011255602592129927|0.0071526927238719645]|[-0.0010290094857523674|0.0019732129473669585|0.0017957451732390415|-0.003042242190752532]],
