mode,cf,time_start,1628259175.9824262,matrix_w_pre,[[-0.0014706089977572522|0.002901299106290633|-0.010510428747503112|0.017557711464530324]|[-0.06378271285845899|0.014860800865991786|0.08184693302132023|-0.059903167539589346]|[-0.014239688166134936|-0.006490629076569239|0.03468709037664995|-0.018504654286240405]|[-0.01720482840335536|-0.0069641388748341625|0.01998451873689862|-0.006467254966112434]],process_time,0.06748414039611816,matrix_w,[[-0.004296688942529405|2.2097448384024515e-05|0.01464250859282845|-0.01823510953530469]|[-0.039007357546698526|0.012092414432754578|0.04733253601426729|-0.03536042628179887]|[-0.015462060549163938|-0.0031628370845774986|0.030609510330395977|-0.017515308671674844]|[0.02144913160711019|0.002045310729617973|-0.026324340363683214|0.014576093921084932]],
mode,cf,time_start,1628259188.0645819,matrix_w_pre,[[0.0383654390658542|-0.019516813552546152|-0.027137159457070202|0.009920326030537831]|[0.02027615168606238|-0.01694853414226425|-0.027098729135064135|0.02386218580532881]|[-0.013829096915233112|0.004530116778030312|0.016212661811209214|-9.009726219438818e-05]|[-0.0415809013768964|0.037032474852262055|0.03488873274204593|-0.023029035530430658]],process_time,1.3801331520080566,matrix_w,[[0.007109225302147384|-0.003805818709955695|-0.004770198831909304|0.0017493893658077676]|[-0.0017369898448095378|0.001442592216133295|0.002714743256045246|-0.002673451230780649]|[0.004743264311863703|-0.00240032932269294|-0.005330592762691264|0.0012760440638864912]|[0.0057727178924346185|-0.005650456939302313|-0.004992566333711047|0.0038175401511040567]],
mode,cf,time_start,1628259192.7832737,matrix_w_pre,[[0.01910655132469269|-0.005440948225558459|-0.019942007048926565|0.012977658203304357]|[-0.057414421443910846|0.0767475730882415|0.025807593355018293|-0.07758666669448121]|[0.0323304070665716|-0.03209997725677804|-0.020683265237702118|0.0260725842901614]|[-0.0049025485321264155|0.009851868947631943|-0.017642962609648413|0.0060929924500917635]],process_time,0.16375303268432617,matrix_w,[[-0.03295543378804976|0.0453467746101075|0.01290973086478192|-0.03945698434748925]|[0.021053678333450496|-0.026084195179774027|-0.016009446108285467|0.034747108026786544]|[-0.0243379156000608|0.018059487146850954|0.01470815192473895|-0.016436531557303995]|[-0.0006156172392890959|0.0070564720637014255|-0.012812664414625773|0.0001811945660281409]],
mode,cf,time_start,1628259201.1821876,matrix_w_pre,[[-0.0023942115066423048|-0.02186427077233042|0.008924840462741642|0.01053467480749948]|[0.011033901523211393|0.002326257521682052|-0.008086637393891169|-0.004803774134287531]|[-0.0008047006135965354|-0.004901598291610474|0.012906200410845472|-0.0019141750810881693]|[-0.001424833546666396|0.009673921115891803|0.0007894718392051726|-0.015564020124087067]],process_time,0.07640433311462402,matrix_w,[[-0.0007399921391631147|0.012571298038523072|-0.003252317828582328|-0.004516225022447715]|[-0.006939450881102073|-0.008531505136548823|0.006444294726879155|0.009147032933822992]|[-0.0007635073461929598|-0.0038222067289278992|0.009760068832358287|-0.0015990604952749884]|[-0.0045650372517658895|0.004815101885374195|0.0032294557753081233|-0.008159994191595077]],
mode,cf,time_start,1628259211.4837332,matrix_w_pre,[[0.0007953004025751265|-0.004492318320228181|-0.0016901081293271669|0.008592532565920722]|[-0.013152252891920081|-0.006388383136446716|0.013364135544690934|0.0017030560060045411]|[-0.0011739336123550424|-0.000990325327266791|0.010438195789247217|-0.002491218133555908]|[-0.013651592953602682|0.012535978193441486|0.007067587966049081|0.004391272406048774]],process_time,0.07685232162475586,matrix_w,[[-0.0042873763147915165|0.000548577837052958|0.00415060282525702|-0.00409969452902648]|[-0.0004662973428274081|-0.009345293968713884|0.0024052294701360287|0.0015886959949985957]|[-0.001343999887679965|-0.0017691828814812983|0.008442088677885687|-0.002296050084763105]|[0.011900127663972821|-0.0026538415235637116|-0.00895120595571154|-0.0031214685728320115]],
mode,cf,time_start,1628259219.3844035,matrix_w_pre,[[-0.01753545600465082|0.01153632379294526|-0.016626845659705576|0.0195318404936529]|[-0.0028513213901171655|0.01243579523403461|-0.002251797470457251|0.0024996592243122814]|[0.003333476206444704|-0.006096435125978607|0.009401411275077718|-0.010667172483921602]|[0.004555254207068439|0.0054343056664375|-0.006895691668027016|-0.003091052295030959]],process_time,0.006373405456542969,matrix_w,[[-0.01307392510704182|0.01107784560184025|-0.01251677869342711|0.014471764165716588]|[-0.001977729368690511|-0.006201015043014676|-0.0016742585898714484|0.0025866549679377823]|[-0.0031045874525787473|0.005389801511108499|-0.008265266024241392|0.00945976769678825]|[-0.003751718921099793|-0.004050241557631887|0.0060387191296451|0.0024524305512971874]],
mode,cf,time_start,1628259227.8863225,matrix_w_pre,[[0.0014546417502485334|-0.011915206968767545|0.0006257291898814891|0.004921047549390709]|[-0.00678363021955483|0.001214922923617507|-0.012227857995290893|0.013101802589599768]|[-0.005318171956119869|0.008575742491356458|-0.019618061364716083|0.006615778522326803]|[-0.013530846773638125|-0.0007435027697138505|0.005913670690954676|-0.001593676880496954]],process_time,0.07064414024353027,matrix_w,[[-0.0007662036450869972|0.00853423553211621|0.00016658955583643105|-0.0039215692207816896]|[0.005419222216072118|-0.0010144272806028986|0.010530663672906164|-0.011320473722354582]|[-0.00019299931222991191|-0.006803969006894194|0.016163349135468328|-0.005290812230355355]|[-0.00885183482865795|0.0029977795630273785|-0.0031593095383497393|0.0010818128628600535]],
mode,cf,time_start,1628259236.0852208,matrix_w_pre,[[0.009956020747543244|0.009034424456940162|-0.02302592458428055|0.014753776889606805]|[0.005970806539634053|-0.04258059285421273|0.09849787136329607|-0.06955127415094738]|[0.0025584664051899794|-0.06121288275707492|0.15879606519517514|-0.10314565159624167]|[-0.0008580047638867996|0.011459999207775483|-0.05620799308224404|0.047676707755303006]],process_time,0.007622957229614258,matrix_w,[[0.0020743771341433736|-0.002152262118424221|0.019598523517235386|-0.014298189612288058]|[0.007297260161635618|0.008026890042200316|-0.029391088762776404|0.019764348079922847]|[0.0022938959252711863|-0.013580293848271465|0.043044899318627754|-0.03517057879792738]|[-0.004124007185773192|0.049153979719030884|-0.12392850244632071|0.08437977367821763]],
mode,cf,time_start,1628259246.1773636,matrix_w_pre,[[0.009992801134398113|-0.009397496548297529|0.012507866806854458|-0.017261714091919247]|[0.006716509576351257|0.003204144388064039|0.0037193355017958196|-0.00040991620850174785]|[-0.005560656471210392|0.007669782337516146|-0.00046586498204460164|-0.0063322497218843]|[0.006941190331114982|0.006669224676803029|-0.011014409287777222|-0.000554812751341823]],process_time,0.009347915649414062,matrix_w,[[-0.004926768316725937|0.0007151539758161291|-0.0003796018105719008|0.00685540487922104]|[0.005824277597510922|-0.0022733986535736377|0.008483149459263026|-0.006832839472064249]|[0.004918535186822546|-0.008911163684013788|0.004864565967186974|-0.0015428909368139878]|[0.00388993233115102|0.0054875097614359115|-0.008183867434941716|0.005883832613980799]],
mode,cf,time_start,1628259256.2064059,matrix_w_pre,[[-0.01308275157378225|0.016399923392496997|-0.0055303155329051385|0.003619835244411967]|[-0.0034074244778382304|0.01817173909131673|-0.033426358224007545|0.024263224900804712]|[0.004398457241023632|0.011352642603184124|-0.029536110708117277|0.005421824249098999]|[-0.011557714132213568|-0.018111608799578193|0.022681439791824482|0.005970135730778567]],process_time,0.0068018436431884766,matrix_w,[[-0.00991504613834153|0.002401603760706677|0.0057493774011285245|0.0005092867921587278]|[0.002876096406774728|-0.007809616124478708|0.01120941817577844|-0.008954349683364782]|[-0.0037630120546599194|-0.011904710419561489|0.02185167669034396|-0.002611818302917167]|[0.0025847469963160377|0.008435430886453706|-0.0010328953071617152|-0.007110138582288171]],
