mode,cf,process_time,0.03766512870788574,matrix_w,[[-0.000706167177773394|-0.005089334167144256|0.012887244340841809|-0.001804161197362067]|[-0.011276177864549|-0.004295157607905249|0.009121113320595418|0.005287067248298825]|[-0.001014513716363749|0.00977913536148071|0.0005313008103886852|-0.01576347190611122]|[-0.0012139214977057717|-0.021472243534797916|0.007916663289401325|0.010012368452486292]],
mode,cf,process_time,0.013704299926757812,matrix_w,[[-0.0007061671777734506|-0.005089334167144211|0.012887244340841847|-0.0018041611973620914]|[-0.011276177864548945|-0.004295157607904456|0.009121113320595042|0.005287067248298575]|[-0.0010145137163638982|0.009779135361479847|0.0005313008103890703|-0.015763471906110795]|[-0.0012139214977061798|-0.021472243534798464|0.007916663289401698|0.010012368452487083]],
mode,cf,process_time,0.02310323715209961,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
mode,cf,process_time,0.06508135795593262,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
mode,cf,process_time,0.025461673736572266,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
mode,cf,process_time,0.06575870513916016,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
mode,cf,process_time,0.021974563598632812,matrix_w,[[-0.004044628213481517|-1.0582708018033282e-05|0.0017205184479764254|0.009342277043709631]|[0.001685525151885912|7.997937579506996e-05|-0.010757596746240734|0.003191860960696001]|[-0.01836677585678837|0.006473066507532641|0.01342942650570357|0.002134371856903103]|[0.0021928722262377076|0.013312215462641473|-0.006428369821684601|-0.0004460765045761262]],
mode,cf,process_time,0.0657052993774414,matrix_w,[[-0.01754304301092634|0.011579525714836628|-0.016641405565830828|0.019542035188763365]|[-0.004566291629956666|-0.00542386484028397|0.006884974557417933|0.003103587020977249]|[0.003327201888859468|-0.006093337058463197|0.00939613190210353|-0.010660341979797344]|[-0.002797214928232942|0.012402515090739466|-0.002203497268291604|0.0024397148665555946]],
mode,cf,process_time,0.06705570220947266,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
mode,cf,process_time,0.0646510124206543,matrix_w,[[-0.004044628213481517|-1.0582708018033282e-05|0.0017205184479764254|0.009342277043709631]|[0.001685525151885912|7.997937579506996e-05|-0.010757596746240734|0.003191860960696001]|[-0.01836677585678837|0.006473066507532641|0.01342942650570357|0.002134371856903103]|[0.0021928722262377076|0.013312215462641473|-0.006428369821684601|-0.0004460765045761262]],
mode,cf,process_time,0.06488728523254395,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
