mode,cf,process_time,0.05792975425720215,matrix_w,[[-0.013074728446077159|0.011079762613077726|-0.01251763889484469|0.014473638337796085]|[0.0037503049610164044|0.004051482560529313|-0.006040075084978292|-0.002450871576829437]|[-0.0031023236015897894|0.005387899773817662|-0.008263127495958518|0.009457339307417883]|[-0.001980045016725636|-0.006199079594857881|-0.0016764416482990263|0.0025892051557744535]],
mode,cf,process_time,0.14525079727172852,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.13448214530944824,matrix_w,[[0.006951727285883588|-0.0018359067866669837|-0.004483037418276947|-0.005012450112705489]|[0.0010551031553693848|0.0010876277085280558|-0.007993268605730188|0.0022178801561838937]|[-0.009991399578547966|0.004594785777307606|0.007766034403359196|-0.001858599719201972]|[0.0035705548414092614|0.008493661018556488|-0.005486659242250037|-0.0009212641293362271]],
mode,cf,process_time,0.07269406318664551,matrix_w,[[-0.013074728446077159|0.011079762613077726|-0.01251763889484469|0.014473638337796085]|[0.0037503049610164044|0.004051482560529313|-0.006040075084978292|-0.002450871576829437]|[-0.0031023236015897894|0.005387899773817662|-0.008263127495958518|0.009457339307417883]|[-0.001980045016725636|-0.006199079594857881|-0.0016764416482990263|0.0025892051557744535]],
mode,cf,process_time,0.05871415138244629,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
mode,cf,process_time,0.19557428359985352,matrix_w,[[-0.0021554955726201075|-0.0011341226156763523|0.01523730005861515|-0.0153607777500497]|[-0.002935854905267137|2.4624818056115036e-05|-0.012712288156557675|0.009534014237442183]|[-0.007710808881388631|0.036312602530023906|-0.09034021846576279|0.06448314364400391]|[0.002663734119605617|0.0367476323666111|-0.09953229846532372|0.0668424824045736]],
mode,cf,process_time,0.004494905471801758,matrix_w,[[-0.006859757780433847|0.0011207960180385163|0.0036548000978482284|-0.002237489443819604]|[-0.006037370540814401|0.0016328712718264946|-0.007775627019357108|0.006582068153995538]|[0.003097271007855721|0.00015258229905568133|0.000550688384123396|-0.007122287968916022]|[0.002102212138447695|-0.01054781484776723|0.009414260379503955|-0.005623833904469818]],
mode,cf,process_time,0.008354663848876953,matrix_w,[[-0.000781054815784121|-0.0038740742856055574|0.00978538353709137|-0.0015647558670545177]|[0.006893275044470452|0.008458151019753746|-0.006352148147816087|-0.00919849597388342]|[-0.00464186914085985|0.004743987857377188|0.00329269933493355|-0.008067088932599827]|[-0.0006707754752361393|0.012631400178631853|-0.003293216131980563|-0.0045897470305363355]],
mode,cf,process_time,0.1492149829864502,matrix_w,[[-0.0007810548157840793|-0.0038740742856055634|0.009785383537091347|-0.0015647558670545503]|[0.006893275044470545|0.008458151019753488|-0.006352148147816138|-0.00919849597388322]|[-0.004641869140859742|0.004743987857377348|0.00329269933493345|-0.008067088932599987]|[-0.0006707754752360178|0.012631400178631978|-0.0032932161319806368|-0.004589747030536491]],
mode,cf,process_time,0.19501447677612305,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.005685567855834961,matrix_w,[[-0.0007810548157841118|-0.0038740742856055548|0.00978538353709136|-0.0015647558670545108]|[0.006893275044470456|0.008458151019753644|-0.006352148147816062|-0.009198495973883378]|[-0.004641869140859843|0.0047439878573771995|0.003292699334933559|-0.008067088932599838]|[-0.0006707754752360898|0.012631400178631921|-0.0032932161319806134|-0.004589747030536405]],
mode,cf,process_time,0.15906262397766113,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.14630937576293945,matrix_w,[[0.006951727285883588|-0.0018359067866669837|-0.004483037418276947|-0.005012450112705489]|[0.0010551031553693848|0.0010876277085280558|-0.007993268605730188|0.0022178801561838937]|[-0.009991399578547966|0.004594785777307606|0.007766034403359196|-0.001858599719201972]|[0.0035705548414092614|0.008493661018556488|-0.005486659242250037|-0.0009212641293362271]],
mode,cf,process_time,0.13775038719177246,matrix_w,[[-0.013074728446077159|0.011079762613077726|-0.01251763889484469|0.014473638337796085]|[0.0037503049610164044|0.004051482560529313|-0.006040075084978292|-0.002450871576829437]|[-0.0031023236015897894|0.005387899773817662|-0.008263127495958518|0.009457339307417883]|[-0.001980045016725636|-0.006199079594857881|-0.0016764416482990263|0.0025892051557744535]],
mode,cf,process_time,0.048863887786865234,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.13716864585876465,matrix_w,[[0.006951727285883588|-0.0018359067866669837|-0.004483037418276947|-0.005012450112705489]|[0.0010551031553693848|0.0010876277085280558|-0.007993268605730188|0.0022178801561838937]|[-0.009991399578547966|0.004594785777307606|0.007766034403359196|-0.001858599719201972]|[0.0035705548414092614|0.008493661018556488|-0.005486659242250037|-0.0009212641293362271]],
mode,cf,process_time,0.03665041923522949,matrix_w,[[-0.01307472844607719|0.01107976261307765|-0.012517638894844682|0.014473638337796116]|[0.003750304961016372|0.004051482560529363|-0.006040075084978515|-0.0024508715768293554]|[-0.003102323601589789|0.005387899773817667|-0.008263127495958523|0.009457339307417888]|[-0.0019800450167255183|-0.006199079594858022|-0.0016764416482990376|0.002589205155774352]],
mode,cf,process_time,0.044869422912597656,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
mode,cf,process_time,0.11207962036132812,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
