mode,cf,process_time,0.0559999942779541,matrix_w,[[0.0007858420593430514|-0.006373471249132238|0.016356036288768368|-0.005663386386537083]|[-0.00884170411671233|0.0022776011868984427|-0.0012607552889464667|0.0004434176195355421]|[-0.0007217739077603316|0.009070113509957626|-0.0011768481954024686|-0.003478477776209913]|[-0.00538834805712851|0.0010328585288310304|-0.01056677993842076|0.011327958903209258]],
mode,cf,process_time,0.1387779712677002,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
mode,cf,process_time,0.17580699920654297,matrix_w,[[-0.0021554955751712504|-0.001134122628523449|0.015237300095374886|-0.015360777774135002]|[-0.002935854907411712|2.4624821333904534e-05|-0.012712288163089551|0.009534014242427877]|[-0.007710808879471125|0.03631260254266152|-0.09034021849926935|0.06448314366715785]|[0.002663734120728038|0.03674763235372517|-0.09953229842845356|0.06684248237599379]],
mode,cf,process_time,0.05445289611816406,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
mode,cf,process_time,0.13972020149230957,matrix_w,[[-0.0021554955727663117|-0.0011341226223628952|0.015237300077144116|-0.015360777762613772]|[-0.0029358549063710528|2.4624818311973738e-05|-0.012712288155899193|0.00953401423714497]|[-0.007710808881237043|0.03631260252864785|-0.09034021846053836|0.06448314364029455]|[0.002663734118709103|0.036747632367753004|-0.09953229846728202|0.06684248240528441]],
mode,cf,process_time,0.04549860954284668,matrix_w,[[0.0007858420593434611|-0.006373471249132125|0.016356036288768267|-0.005663386386537111]|[-0.008841704116712005|0.0022776011868983776|-0.0012607552889462382|0.00044341761953546925]|[-0.0007217739077602123|0.009070113509957678|-0.0011768481954028901|-0.0034784777762097317]|[-0.00538834805712849|0.0010328585288310304|-0.01056677993842077|0.011327958903209262]],
mode,cf,process_time,0.1903400421142578,matrix_w,[[-0.0021554955768174292|-0.00113412261987781|0.015237300071927138|-0.015360777757560142]|[-0.0029358549053822387|2.4624822960408153e-05|-0.012712288170243053|0.009534014247234112]|[-0.007710808878506937|0.03631260255716893|-0.09034021854285404|0.06448314369753978]|[0.002663734124423933|0.0367476323396464|-0.09953229839154237|0.06684248234978697]],
mode,cf,process_time,0.10743474960327148,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
mode,cf,process_time,0.06945991516113281,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
mode,cf,process_time,0.05598902702331543,matrix_w,[[0.0007858420593432271|-0.006373471249132083|0.01635603628876829|-0.005663386386537126]|[-0.00884170411671206|0.0022776011868983976|-0.0012607552889465146|0.000443417619535609]|[-0.0007217739077604886|0.009070113509957683|-0.0011768481954028199|-0.0034784777762097317]|[-0.005388348057128484|0.0010328585288310304|-0.01056677993842079|0.011327958903209277]],
mode,cf,process_time,0.10844898223876953,matrix_w,[[0.0007858420593431145|-0.006373471249132266|0.016356036288768305|-0.005663386386537019]|[-0.008841704116712062|0.0022776011868980844|-0.001260755288946704|0.0004434176195358472]|[-0.0007217739077606678|0.009070113509957754|-0.0011768481954024504|-0.003478477776209959]|[-0.005388348057128519|0.0010328585288310538|-0.010566779938420763|0.011327958903209251]],
mode,cf,process_time,0.07041811943054199,matrix_w,[[0.0007858420593432591|-0.0063734712491322724|0.01635603628876825|-0.005663386386537029]|[-0.008841704116711872|0.00227760118689846|-0.001260755288946782|0.00044341761953565627]|[-0.0007217739077602139|0.009070113509957624|-0.001176848195402398|-0.003478477776209971]|[-0.005388348057128546|0.0010328585288310408|-0.010566779938420763|0.01132795890320926]],
mode,cf,process_time,0.03457379341125488,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
mode,cf,process_time,0.08902931213378906,matrix_w,[[0.0007858420593431628|-0.006373471249132323|0.016356036288768395|-0.005663386386537074]|[-0.00884170411671223|0.0022776011868984513|-0.0012607552889462859|0.0004434176195354441]|[-0.0007217739077604171|0.00907011350995747|-0.001176848195402453|-0.003478477776209835]|[-0.0053883480571285235|0.0010328585288310295|-0.010566779938420768|0.011327958903209265]],
